Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
1.0,5,2,3,yes,no,full stack,data science,excellent,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Art,Technical,hard worker,yes,yes,Database Developer
6.0,3,6,6,yes,no,hadoop,system designing,medium,excellent,parallel computing,cloud computing,Testing and Maintainance Services,yes,Prayer books,Management,smart worker,yes,yes,Database Developer
9.0,4,9,2,yes,yes,app development,system designing,excellent,medium,IOT,testing,Web Services,no,Journals,,hard worker,yes,no,CRM Technical Developer
1.0,4,8,3,no,yes,distro making,cloud computing,poor,medium,Management,security,Finance,no,Prayer books,Technical,hard worker,no,yes,Systems Security Administrator
3.0,2,5,5,yes,no,hadoop,data science,excellent,medium,parallel computing,developer,Cloud Services,no,Guide,Technical,smart worker,yes,yes,Database Developer
7.0,6,1,9,no,yes,distro making,testing,poor,medium,cloud computing,testing,SAaS services,no,Dictionaries,Technical,smart worker,no,no,UX Designer
4.0,0,7,2,no,yes,information security,game development,medium,excellent,networks,security,Testing and Maintainance Services,no,Guide,Management,smart worker,no,yes,Network Security Engineer
9.0,0,5,8,yes,yes,full stack,cloud computing,poor,medium,parallel computing,,product development,no,Autobiographies,Management,hard worker,yes,no,Systems Security Administrator
3.0,2,6,2,no,no,r programming,testing,excellent,medium,networks,security,Finance,no,Art,Management,smart worker,yes,yes,Software Quality Assurance (QA) / Testing
5.0,2,7,5,no,no,app development,database security,excellent,excellent,Management,developer,Web Services,no,Prayer books,Technical,hard worker,no,yes,CRM Technical Developer
3.0,2,3,7,no,yes,app development,cloud computing,excellent,poor,parallel computing,security,Finance,yes,Health,,hard worker,yes,yes,Database Developer
7.0,3,3,8,no,no,shell programming,testing,medium,excellent,IOT,Business process analyst,SAaS services,no,Guide,Management,hard worker,no,yes,CRM Technical Developer
5.0,5,5,1,yes,yes,distro making,database security,medium,poor,Management,developer,Web Services,no,Autobiographies,Management,smart worker,yes,no,Software Quality Assurance (QA) / Testing
9.0,0,6,6,no,yes,machine learning,data science,excellent,excellent,Software Engineering,cloud computing,SAaS services,yes,Series,Management,smart worker,no,yes,Software Developer
7.0,3,9,1,yes,yes,app development,game development,poor,excellent,programming,system developer,Finance,no,Anthology,Technical,smart worker,no,no,Software Developer
2.0,2,5,2,no,yes,distro making,database security,medium,medium,parallel computing,Business process analyst,Cloud Services,yes,Journals,Technical,smart worker,no,yes,Web Developer
4.0,0,1,1,no,no,distro making,system designing,excellent,poor,IOT,cloud computing,SAaS services,yes,Autobiographies,Management,smart worker,no,yes,Systems Security Administrator
9.0,3,4,5,yes,no,python,web technologies,excellent,medium,cloud computing,security,Web Services,no,Dictionaries,Management,hard worker,yes,yes,Software Quality Assurance (QA) / Testing
2.0,5,5,9,no,no,python,database security,medium,poor,Software Engineering,developer,Web Services,yes,Guide,Management,hard worker,yes,yes,Mobile Applications Developer
9.0,3,5,6,no,yes,r programming,database security,medium,excellent,cloud computing,system developer,SAaS services,no,Dictionaries,Technical,hard worker,no,no,Web Developer
5.0,5,7,1,no,yes,information security,game development,medium,excellent,Management,Business process analyst,Finance,yes,Anthology,Technical,hard worker,no,no,Mobile Applications Developer
2.0,2,4,1,yes,,r programming,web technologies,poor,poor,programming,cloud computing,Sales and Marketing,yes,Health,Technical,smart worker,yes,no,Systems Security Administrator
4.0,5,1,2,no,no,hadoop,system designing,poor,medium,parallel computing,cloud computing,Finance,yes,Art,Management,smart worker,yes,no,Applications Developer
7.0,0,5,9,yes,yes,machine learning,testing,excellent,medium,parallel computing,,SAaS services,no,Art,Management,hard worker,,yes,CRM Technical Developer
8.0,2,7,3,no,no,hadoop,testing,medium,medium,Management,security,BPA,no,Dictionaries,Technical,smart worker,yes,no,CRM Technical Developer
3.0,0,6,1,yes,no,hadoop,database security,poor,medium,Management,system developer,SAaS services,yes,Prayer books,Management,smart worker,yes,no,Software Developer
1.0,4,5,5,yes,no,shell programming,web technologies,medium,excellent,programming,cloud computing,Cloud Services,yes,Health,Technical,hard worker,yes,yes,Mobile Applications Developer
4.0,1,4,7,no,no,hadoop,web technologies,excellent,excellent,IOT,testing,SAaS services,no,Art,Management,hard worker,no,yes,UX Designer
2.0,5,2,6,no,no,r programming,system designing,poor,excellent,IOT,Business process analyst,SAaS services,no,Health,Management,smart worker,yes,yes,Technical Support
8.0,1,4,1,yes,no,app development,game development,poor,excellent,programming,system developer,Cloud Services,yes,Autobiographies,Management,smart worker,,yes,Database Developer
4.0,1,3,5,yes,yes,app development,data science,poor,excellent,IOT,cloud computing,SAaS services,yes,Health,Management,hard worker,no,no,Database Developer
2.0,5,1,5,no,yes,python,testing,excellent,medium,Computer Architecture,,Testing and Maintainance Services,no,Travel,Technical,hard worker,yes,no,Database Developer
6.0,2,8,6,yes,no,machine learning,game development,medium,medium,networks,cloud computing,BPA,no,Anthology,Management,hard worker,yes,yes,Software Developer
6.0,4,5,3,no,no,machine learning,cloud computing,poor,medium,programming,security,product development,no,Art,Technical,smart worker,yes,yes,Software Quality Assurance (QA) / Testing
4.0,0,4,5,no,yes,shell programming,testing,excellent,medium,programming,,BPA,no,Health,Technical,hard worker,yes,yes,UX Designer
6.0,3,8,7,no,no,r programming,game development,medium,excellent,data engineering,security,SAaS services,no,Dictionaries,Technical,hard worker,yes,no,Software Engineer
2.0,0,7,5,no,no,python,testing,excellent,excellent,Software Engineering,developer,Testing and Maintainance Services,yes,Series,Management,smart worker,no,no,Mobile Applications Developer
2.0,3,2,5,yes,yes,machine learning,data science,medium,excellent,Software Engineering,developer,Finance,no,Travel,Technical,smart worker,yes,yes,UX Designer
4.0,0,1,5,no,no,app development,cloud computing,excellent,poor,Computer Architecture,developer,SAaS services,yes,Travel,Technical,smart worker,no,yes,Web Developer
8.0,5,4,3,yes,no,hadoop,data science,medium,medium,Management,testing,Testing and Maintainance Services,no,Prayer books,Technical,smart worker,no,no,Mobile Applications Developer
7.0,4,8,1,no,no,hadoop,system designing,poor,medium,Management,system developer,Cloud Services,yes,Health,Management,smart worker,yes,yes,UX Designer
,3,2,5,yes,yes,python,cloud computing,medium,excellent,cloud computing,cloud computing,Testing and Maintainance Services,no,Prayer books,Management,hard worker,no,yes,Technical Support
8.0,6,3,9,no,yes,r programming,database security,excellent,medium,Computer Architecture,cloud computing,Cloud Services,no,Prayer books,Technical,hard worker,yes,no,UX Designer
5.0,2,1,1,yes,yes,r programming,game development,excellent,medium,programming,testing,Sales and Marketing,yes,Series,Management,smart worker,no,yes,UX Designer
2.0,0,1,3,yes,no,information security,cloud computing,medium,excellent,Computer Architecture,security,product development,yes,Autobiographies,Technical,smart worker,no,no,UX Designer
5.0,0,3,4,no,no,full stack,system designing,poor,poor,Computer Architecture,testing,Service Based,no,Health,Technical,smart worker,yes,yes,CRM Technical Developer
,3,5,1,no,yes,machine learning,system designing,poor,poor,Computer Architecture,security,Testing and Maintainance Services,no,Guide,Management,smart worker,yes,yes,Applications Developer
9.0,2,3,1,no,no,r programming,data science,medium,poor,Software Engineering,security,Web Services,no,Art,Technical,smart worker,yes,no,Systems Security Administrator
9.0,2,1,8,no,no,app development,testing,medium,excellent,Computer Architecture,Business process analyst,SAaS services,no,Prayer books,Management,hard worker,yes,no,Web Developer
1.0,5,1,2,yes,no,python,cloud computing,excellent,medium,networks,cloud computing,BPA,no,Anthology,Management,hard worker,,yes,Web Developer
9.0,6,8,8,no,no,information security,game development,poor,excellent,Management,developer,Service Based,yes,Journals,Technical,hard worker,,no,CRM Technical Developer
7.0,5,2,7,yes,no,distro making,cloud computing,medium,excellent,cloud computing,security,BPA,yes,Anthology,Management,hard worker,no,yes,Software Quality Assurance (QA) / Testing
9.0,5,3,2,yes,yes,shell programming,web technologies,poor,medium,networks,Business process analyst,Sales and Marketing,no,Series,Management,smart worker,no,yes,Systems Security Administrator
8.0,5,2,6,no,no,distro making,testing,medium,poor,cloud computing,,Service Based,yes,Series,Technical,hard worker,no,no,Mobile Applications Developer
1.0,5,3,6,yes,yes,hadoop,game development,medium,poor,data engineering,developer,Service Based,yes,Dictionaries,Technical,smart worker,no,yes,Software Quality Assurance (QA) / Testing
8.0,5,7,3,yes,no,shell programming,game development,poor,excellent,cloud computing,security,BPA,yes,Autobiographies,Management,smart worker,no,yes,Systems Security Administrator
8.0,4,1,2,yes,yes,machine learning,database security,medium,poor,Management,security,Cloud Services,no,Art,Management,smart worker,no,no,Technical Support
3.0,2,8,1,yes,no,app development,data science,medium,excellent,Management,testing,BPA,yes,Prayer books,Technical,hard worker,yes,no,Technical Support
1.0,5,2,6,no,yes,shell programming,database security,excellent,excellent,Computer Architecture,testing,Cloud Services,no,Anthology,Management,smart worker,yes,yes,Network Security Engineer
8.0,2,3,5,no,no,full stack,game development,medium,medium,parallel computing,,Sales and Marketing,yes,Journals,Management,hard worker,no,no,Software Engineer
3.0,2,9,9,no,yes,distro making,testing,medium,medium,data engineering,developer,SAaS services,no,Series,Management,hard worker,no,no,Technical Support
3.0,1,7,1,no,no,machine learning,cloud computing,medium,medium,programming,security,Finance,yes,Series,Management,smart worker,yes,no,Mobile Applications Developer
1.0,4,4,7,yes,yes,full stack,cloud computing,excellent,excellent,IOT,cloud computing,Cloud Services,no,Autobiographies,Management,smart worker,yes,no,Applications Developer
5.0,5,5,5,yes,no,hadoop,testing,poor,medium,cloud computing,cloud computing,Sales and Marketing,no,Journals,Management,smart worker,yes,yes,Database Developer
7.0,0,2,5,no,yes,full stack,game development,excellent,poor,parallel computing,system developer,Web Services,yes,Journals,,hard worker,yes,yes,Network Security Engineer
9.0,3,8,2,no,yes,information security,system designing,excellent,poor,Computer Architecture,testing,Sales and Marketing,no,Autobiographies,Technical,smart worker,no,yes,Database Developer
7.0,6,4,3,no,no,information security,cloud computing,poor,excellent,Software Engineering,developer,BPA,no,Series,Technical,hard worker,yes,no,Web Developer
9.0,0,9,7,yes,no,python,system designing,excellent,excellent,programming,security,BPA,no,Art,Technical,smart worker,no,no,UX Designer
8.0,4,5,6,no,,machine learning,cloud computing,poor,medium,parallel computing,cloud computing,Finance,no,Health,Technical,smart worker,no,no,Software Engineer
,3,9,2,no,no,hadoop,cloud computing,excellent,excellent,Software Engineering,security,Sales and Marketing,no,Health,Technical,hard worker,no,no,Web Developer
1.0,4,4,6,no,,r programming,data science,poor,excellent,data engineering,system developer,product development,no,Autobiographies,Management,hard worker,yes,no,Systems Security Administrator
7.0,2,5,2,yes,yes,information security,data science,medium,poor,Computer Architecture,developer,SAaS services,no,Journals,Management,hard worker,yes,no,Web Developer
7.0,3,9,2,yes,yes,machine learning,web technologies,excellent,poor,programming,cloud computing,BPA,no,Prayer books,Management,hard worker,no,no,Software Developer
8.0,2,8,2,yes,no,r programming,database security,excellent,medium,programming,security,Finance,yes,Autobiographies,Management,hard worker,no,yes,Technical Support
5.0,0,3,3,yes,yes,python,testing,excellent,excellent,programming,testing,SAaS services,yes,Art,Technical,hard worker,,yes,Applications Developer
3.0,0,1,2,yes,yes,full stack,testing,excellent,excellent,data engineering,system developer,Sales and Marketing,no,Autobiographies,Management,smart worker,yes,no,Software Engineer
8.0,3,3,4,yes,,information security,testing,medium,poor,cloud computing,developer,Sales and Marketing,no,Travel,Management,smart worker,no,no,Database Developer
6.0,3,4,9,yes,no,machine learning,web technologies,excellent,excellent,data engineering,system developer,Service Based,yes,Anthology,Technical,hard worker,yes,no,Network Security Engineer
3.0,5,2,6,yes,no,shell programming,data science,medium,poor,IOT,testing,Finance,yes,Journals,Management,smart worker,no,yes,Technical Support
1.0,4,1,1,no,no,r programming,game development,medium,medium,Management,developer,BPA,yes,Dictionaries,,hard worker,no,yes,Mobile Applications Developer
3.0,5,7,8,no,yes,full stack,system designing,medium,poor,Computer Architecture,system developer,product development,no,Dictionaries,Technical,smart worker,no,no,Technical Support
5.0,4,8,7,yes,yes,information security,system designing,medium,excellent,data engineering,Business process analyst,Sales and Marketing,yes,Journals,Management,smart worker,yes,no,Network Security Engineer
3.0,5,7,3,yes,yes,hadoop,game development,poor,medium,Software Engineering,testing,product development,no,Art,Management,hard worker,yes,yes,Network Security Engineer
1.0,2,5,1,no,yes,r programming,web technologies,poor,poor,IOT,testing,Sales and Marketing,no,Travel,,hard worker,no,yes,Software Developer
5.0,3,1,5,yes,no,information security,game development,excellent,poor,Management,testing,BPA,yes,Travel,Management,hard worker,yes,yes,Technical Support
7.0,0,7,4,yes,yes,r programming,testing,poor,medium,cloud computing,Business process analyst,SAaS services,no,Series,Management,smart worker,no,yes,Web Developer
7.0,4,7,8,yes,yes,full stack,database security,poor,medium,Software Engineering,Business process analyst,Testing and Maintainance Services,no,Anthology,Technical,hard worker,yes,no,Technical Support
9.0,4,9,1,no,no,information security,cloud computing,excellent,poor,Computer Architecture,security,SAaS services,no,Health,Technical,smart worker,yes,yes,UX Designer
3.0,0,3,1,no,yes,distro making,system designing,excellent,excellent,Software Engineering,cloud computing,Sales and Marketing,no,Guide,Technical,hard worker,yes,yes,Software Developer
7.0,5,9,4,no,yes,machine learning,data science,excellent,poor,Management,system developer,Testing and Maintainance Services,yes,Art,Technical,smart worker,no,no,Software Quality Assurance (QA) / Testing
1.0,4,1,8,no,yes,full stack,data science,poor,medium,Software Engineering,security,Testing and Maintainance Services,yes,Guide,Technical,smart worker,,yes,Software Quality Assurance (QA) / Testing
,6,1,5,no,yes,r programming,web technologies,poor,poor,networks,system developer,product development,no,Guide,Technical,hard worker,yes,yes,UX Designer
4.0,2,4,2,yes,yes,hadoop,data science,excellent,medium,parallel computing,cloud computing,Finance,no,Journals,Management,smart worker,no,yes,Systems Security Administrator
5.0,3,9,6,no,yes,shell programming,testing,medium,medium,cloud computing,Business process analyst,product development,yes,Dictionaries,Technical,smart worker,no,no,Software Quality Assurance (QA) / Testing
7.0,0,6,5,yes,,r programming,system designing,excellent,excellent,Management,cloud computing,product development,no,Dictionaries,Technical,hard worker,no,yes,UX Designer
7.0,3,3,2,yes,no,machine learning,game development,medium,medium,Software Engineering,Business process analyst,SAaS services,yes,Health,Management,smart worker,no,no,CRM Technical Developer
4.0,6,1,3,no,yes,information security,testing,medium,medium,parallel computing,cloud computing,SAaS services,no,Journals,Management,hard worker,yes,no,Web Developer
7.0,4,4,9,no,yes,shell programming,web technologies,excellent,excellent,parallel computing,security,Web Services,no,Guide,Technical,hard worker,yes,yes,Technical Support
3.0,4,9,7,yes,no,app development,testing,excellent,medium,Software Engineering,developer,Sales and Marketing,yes,Prayer books,Management,hard worker,yes,yes,Web Developer
6.0,6,3,7,yes,yes,r programming,game development,excellent,excellent,Computer Architecture,security,Web Services,yes,Dictionaries,Technical,hard worker,yes,yes,UX Designer
,0,9,6,yes,,python,database security,poor,excellent,networks,system developer,BPA,yes,Art,Management,smart worker,yes,yes,Applications Developer
9.0,2,7,8,no,yes,app development,web technologies,medium,medium,data engineering,security,Sales and Marketing,yes,Art,Technical,smart worker,no,no,Technical Support
5.0,1,4,4,no,,r programming,database security,poor,medium,networks,testing,Sales and Marketing,no,Series,Management,smart worker,yes,yes,CRM Technical Developer
6.0,0,3,8,no,yes,distro making,cloud computing,poor,poor,Software Engineering,system developer,Service Based,yes,Autobiographies,Management,hard worker,yes,yes,CRM Technical Developer
4.0,1,5,4,no,no,python,database security,excellent,excellent,cloud computing,cloud computing,Service Based,no,Prayer books,Technical,smart worker,yes,yes,Web Developer
7.0,6,5,8,no,yes,shell programming,cloud computing,poor,poor,data engineering,system developer,Cloud Services,yes,Dictionaries,Technical,smart worker,no,no,Database Developer
9.0,5,3,9,yes,no,hadoop,cloud computing,excellent,medium,Management,developer,Cloud Services,yes,Travel,,hard worker,no,yes,Technical Support
7.0,1,9,3,no,no,distro making,database security,medium,poor,networks,Business process analyst,product development,no,Dictionaries,Technical,hard worker,yes,yes,Software Engineer
1.0,2,4,3,yes,yes,app development,web technologies,excellent,excellent,Software Engineering,cloud computing,BPA,yes,Series,Technical,smart worker,no,no,CRM Technical Developer
1.0,5,5,2,yes,no,information security,game development,poor,poor,networks,system developer,Testing and Maintainance Services,yes,Art,Management,hard worker,,no,Applications Developer
9.0,1,4,3,yes,yes,machine learning,testing,poor,excellent,data engineering,cloud computing,Testing and Maintainance Services,yes,Guide,Technical,hard worker,no,yes,Software Developer
9.0,6,5,3,no,no,hadoop,testing,excellent,medium,IOT,cloud computing,Service Based,yes,Travel,Technical,hard worker,no,yes,Systems Security Administrator
4.0,5,7,5,no,yes,distro making,game development,excellent,medium,networks,cloud computing,Service Based,no,Journals,Management,hard worker,no,yes,Database Developer
9.0,6,9,5,no,yes,information security,system designing,poor,excellent,Management,Business process analyst,Service Based,no,Anthology,Management,smart worker,no,yes,Software Developer
3.0,1,7,2,yes,no,information security,system designing,medium,medium,Management,security,Finance,yes,Guide,Technical,hard worker,no,yes,Database Developer
7.0,6,5,6,yes,yes,r programming,cloud computing,medium,medium,programming,cloud computing,Cloud Services,yes,Anthology,Management,hard worker,yes,no,Applications Developer
6.0,2,7,5,yes,yes,distro making,cloud computing,excellent,medium,networks,testing,SAaS services,yes,Prayer books,,hard worker,yes,no,Web Developer
8.0,1,5,6,yes,no,shell programming,web technologies,medium,medium,Computer Architecture,developer,Testing and Maintainance Services,no,Autobiographies,Technical,hard worker,no,yes,Network Security Engineer
9.0,1,3,1,yes,yes,python,data science,poor,excellent,parallel computing,Business process analyst,Sales and Marketing,no,Travel,Management,hard worker,yes,yes,Technical Support
5.0,1,7,5,yes,yes,python,database security,excellent,poor,parallel computing,system developer,Cloud Services,no,Health,Management,hard worker,yes,no,UX Designer
1.0,0,2,9,no,no,app development,cloud computing,poor,poor,parallel computing,Business process analyst,Web Services,no,Travel,Technical,hard worker,no,yes,Mobile Applications Developer
3.0,0,9,2,no,no,app development,testing,poor,medium,IOT,system developer,SAaS services,yes,Dictionaries,Technical,hard worker,yes,yes,Software Engineer
8.0,0,1,1,no,yes,python,web technologies,medium,poor,programming,Business process analyst,Cloud Services,yes,Art,Management,smart worker,no,yes,Software Developer
6.0,2,6,9,no,yes,shell programming,database security,excellent,poor,IOT,system developer,BPA,yes,Dictionaries,Management,hard worker,,yes,Technical Support
8.0,5,7,9,yes,no,machine learning,web technologies,excellent,medium,networks,cloud computing,Sales and Marketing,no,Dictionaries,Technical,smart worker,no,yes,Software Engineer
9.0,6,8,9,yes,no,full stack,database security,medium,medium,networks,security,Cloud Services,yes,Prayer books,Management,hard worker,yes,no,Network Security Engineer
4.0,4,9,6,no,,machine learning,database security,poor,poor,networks,system developer,Finance,no,Guide,Management,hard worker,yes,yes,Mobile Applications Developer
1.0,1,2,8,yes,no,r programming,game development,poor,excellent,cloud computing,system developer,Service Based,no,Health,Management,hard worker,,yes,Software Engineer
1.0,6,2,1,no,yes,full stack,cloud computing,poor,medium,parallel computing,testing,Service Based,yes,Health,Technical,hard worker,yes,yes,Software Engineer
4.0,1,5,4,no,yes,full stack,web technologies,poor,excellent,cloud computing,system developer,Sales and Marketing,yes,Dictionaries,Management,smart worker,no,no,Software Developer
7.0,2,5,1,no,yes,distro making,web technologies,excellent,poor,programming,testing,Service Based,yes,Anthology,Management,hard worker,no,no,Software Quality Assurance (QA) / Testing
2.0,1,6,8,yes,yes,shell programming,game development,excellent,medium,IOT,developer,Cloud Services,no,Prayer books,Technical,hard worker,yes,no,Mobile Applications Developer
3.0,0,3,1,no,yes,shell programming,testing,medium,excellent,parallel computing,cloud computing,Web Services,no,Dictionaries,,smart worker,no,no,Technical Support
1.0,4,8,3,no,no,full stack,testing,medium,medium,cloud computing,testing,Testing and Maintainance Services,yes,Autobiographies,Management,smart worker,no,yes,Network Security Engineer
5.0,3,1,4,no,no,distro making,system designing,excellent,poor,cloud computing,security,Testing and Maintainance Services,yes,Art,Technical,hard worker,yes,no,Mobile Applications Developer
1.0,1,6,8,yes,no,full stack,cloud computing,excellent,excellent,Software Engineering,cloud computing,SAaS services,no,Guide,Technical,smart worker,no,yes,Web Developer
8.0,6,4,6,yes,no,hadoop,cloud computing,poor,poor,cloud computing,testing,product development,yes,Journals,Technical,smart worker,yes,yes,Applications Developer
1.0,0,1,7,no,yes,app development,data science,poor,poor,Computer Architecture,cloud computing,BPA,no,Autobiographies,Technical,smart worker,no,no,Web Developer
1.0,3,7,8,yes,yes,app development,game development,medium,medium,Computer Architecture,cloud computing,Sales and Marketing,no,Anthology,Management,hard worker,yes,no,Software Quality Assurance (QA) / Testing
2.0,4,9,2,yes,yes,machine learning,testing,excellent,excellent,IOT,cloud computing,SAaS services,yes,Travel,Management,hard worker,no,no,Applications Developer
2.0,3,4,8,yes,yes,r programming,database security,medium,poor,Computer Architecture,developer,product development,yes,Travel,Technical,hard worker,no,no,Network Security Engineer
6.0,0,4,3,yes,no,app development,web technologies,excellent,poor,IOT,security,Finance,yes,Autobiographies,Technical,smart worker,yes,no,Software Developer
7.0,5,6,7,yes,yes,information security,cloud computing,poor,excellent,IOT,Business process analyst,Finance,yes,Dictionaries,,hard worker,yes,yes,Software Developer
5.0,5,3,3,yes,yes,machine learning,web technologies,medium,poor,programming,Business process analyst,BPA,no,Journals,Technical,smart worker,yes,no,Network Security Engineer
1.0,3,6,7,yes,no,app development,web technologies,medium,poor,Software Engineering,testing,Service Based,no,Series,Management,hard worker,yes,no,Database Developer
1.0,2,7,2,yes,no,r programming,data science,excellent,excellent,networks,cloud computing,Cloud Services,no,Series,Technical,hard worker,no,no,Network Security Engineer
3.0,6,3,6,yes,no,shell programming,testing,poor,excellent,Management,testing,SAaS services,yes,Anthology,Management,smart worker,no,yes,Web Developer
2.0,6,7,3,yes,no,shell programming,cloud computing,medium,excellent,IOT,developer,SAaS services,no,Dictionaries,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing
5.0,3,3,3,no,yes,full stack,web technologies,poor,excellent,data engineering,developer,Sales and Marketing,yes,Health,Technical,smart worker,no,yes,CRM Technical Developer
6.0,1,2,9,no,yes,hadoop,cloud computing,medium,medium,networks,system developer,Sales and Marketing,yes,Health,Management,smart worker,yes,no,Software Developer
7.0,1,4,7,yes,no,shell programming,database security,poor,excellent,parallel computing,developer,Finance,yes,Guide,Technical,hard worker,yes,no,Systems Security Administrator
4.0,6,8,5,no,yes,distro making,data science,excellent,medium,Computer Architecture,system developer,Finance,yes,Journals,Management,smart worker,no,yes,Software Quality Assurance (QA) / Testing
7.0,6,9,7,no,yes,app development,database security,medium,medium,Management,security,Web Services,yes,Journals,Management,hard worker,no,no,UX Designer
8.0,5,7,9,yes,yes,distro making,cloud computing,medium,medium,data engineering,testing,Web Services,yes,Travel,Management,hard worker,yes,yes,Software Quality Assurance (QA) / Testing
1.0,2,1,1,yes,no,r programming,system designing,poor,poor,networks,security,Service Based,no,Prayer books,Management,smart worker,yes,yes,Software Quality Assurance (QA) / Testing
6.0,0,3,7,yes,yes,shell programming,cloud computing,poor,medium,programming,developer,Web Services,yes,Anthology,Management,hard worker,yes,yes,Software Engineer
8.0,1,9,6,no,no,hadoop,testing,medium,medium,parallel computing,security,Cloud Services,no,Series,Technical,smart worker,no,no,Software Quality Assurance (QA) / Testing
5.0,6,1,9,no,yes,r programming,web technologies,excellent,poor,Management,security,Cloud Services,no,Anthology,Technical,hard worker,no,no,Software Developer
,5,9,1,yes,yes,information security,web technologies,poor,poor,Software Engineering,security,SAaS services,yes,Health,Management,hard worker,no,no,CRM Technical Developer
2.0,4,8,4,yes,yes,information security,database security,poor,poor,programming,developer,Testing and Maintainance Services,yes,Health,Technical,hard worker,no,yes,CRM Technical Developer
,5,1,9,yes,,distro making,data science,poor,excellent,data engineering,cloud computing,Cloud Services,yes,Autobiographies,Management,hard worker,yes,no,Software Quality Assurance (QA) / Testing
6.0,1,6,4,no,yes,full stack,system designing,medium,poor,Management,security,product development,no,Guide,Technical,hard worker,yes,yes,UX Designer
1.0,1,5,3,no,no,machine learning,game development,medium,poor,programming,system developer,Finance,yes,Journals,Technical,smart worker,yes,no,Applications Developer
9.0,5,6,9,no,no,full stack,web technologies,medium,medium,parallel computing,,Sales and Marketing,no,Art,Technical,smart worker,yes,yes,Software Developer
,0,5,2,no,no,full stack,testing,medium,poor,Software Engineering,security,Web Services,yes,Anthology,Technical,smart worker,yes,yes,Software Developer
,3,6,4,yes,yes,hadoop,database security,excellent,excellent,programming,cloud computing,SAaS services,yes,Health,Management,smart worker,yes,yes,UX Designer
